Species Name,Description
Callorhinchidae,"Callorhinchus, the plough-nosed chimaeras or elephantfish, are the only living genus in the family Callorhinchidae (sometimes spelled Callorhynchidae). A few extinct genera only known from fossil remains are recognized. Callorhinchus spp. are similar in form and habits to other chimaeras, but are distinguished by the presence of an elongated, flexible, fleshy snout, with a vague resemblance to a ploughshare. They are only found in the oceans of the Southern Hemisphere along the ocean bottom on muddy and sandy substrates."
Caproidae,"Caproidae, or boarfishes, are a small family of marine fishes with a single extant species, the boarfish (Capros aper), native to the northeastern Atlantic Ocean, as well as a few other extinct species and genera."
Carangidae,"The Carangidae are a family of ray-finned fish that includes the jacks, pompanos, jack mackerels, runners, trevallies, and scads. It is the largest of the six families included within the order Carangiformes. Some authorities classify it as the only family within that order but molecular and anatomical studies indicate that there is a close relationship between this family and the five former Perciform families which make up the Carangiformes. They are found in the Atlantic, Indian and Pacific Oceans. Most species are fast-swimming predatory fishes that hunt in the waters above reefs and in the open sea; some dig in the sea floor for invertebrates."
Carapidae,"Pearlfish are marine fish in the ray-finned fish family Carapidae. Pearlfishes inhabit the  tropical waters of the Atlantic, Indian, and Pacific Oceans at depths to 2,000 m (6,600 ft), along oceanic shelves and slopes. They are slender, elongated fish with no scales, translucent bodies, and dorsal fin rays which are shorter than their anal fin rays. Adults of most species live symbiotically inside various invertebrate hosts, and some live parasitically inside sea cucumbers. The larvae are free living."
Carcharhinidae,"Requiem sharks are members in the family Carcharhinidae. They are migratory, live-bearing sharks of warm seas (sometimes of brackish or fresh water) and include such species as the bull shark, blacktip shark, lemon shark, nervous shark, and whitetip reef shark. Family members have the usual carcharhiniform characteristics. Their eyes are round, and one or two gill slits fall over the pectoral fin base. All species are viviparous, the young being born fully developed."
Carchariidae,"Carchariidae is a family of lamniform sharks containing a single extant genus, Carcharias,
The family was recognized as distinct as early as 1838, but afterwards, it was grouped with the superficially very similar genus Odontaspis into the family Odontaspididae. However, phylogenetic studies since the 21st century have discovered that this placement is paraphyletic, with Carcharias being the second most basal extant lamniform after the goblin sharks, while Odontaspis diverged from the rest of the lamniforms only afterwards, and is thus more closely related to derived lamniforms. For this reason, the family Carchariidae was revived in 2019, and is presently accepted by Eschmeyer's Catalog of Fishes and the Shark-References database. Aside from the stratigraphically widespread genus Carcharias, known from the Late Cretaceous onwards based on named species, the paleontological history of this family is uncertain due to the close similarity of its teeth with those of the Odontaspididae, which was why the two families were long confused. It is possible that some families placed in Odontaspididae may actually belong in Carchariidae."
Caristiidae,"Caristiidae, the manefishes, are a family of scombriform ray-finned fishes which today includes 19 extant species distributed in four genera."
Catostomidae,"The Catostomidae are the suckers of the order Cypriniformes, with about 78 species in this family  of freshwater fishes. The Catostomidae are almost exclusively native to North America. The only exceptions are Catostomus catostomus, found in both North America and Russia, and Myxocyprinus asiaticus found only in China. In the Ozarks they are a common food fish and a festival is held each year to celebrate them. The bigmouth buffalo, Ictiobus cyprinellus, can reach an age up to 127 years, making it the oldest known freshwater teleost by more than 50 years."
Centrarchidae,"Centrarchidae, better known as sunfishes or centrarchids, is a family of freshwater ray-finned fish belonging to the order Centrarchiformes, native only to North America. There are eight universally included genera within the centrarchid family: Lepomis (true sunfishes), Micropterus (black basses), Pomoxis (crappies), Enneacanthus (banded sunfishes), Centrarchus (type genus, consisting solely of the flier C. macropterus), Archoplites (Sacramento perch), Ambloplites (rock basses), and Acantharchus (mud sunfish). Their closest relatives are the pygmy sunfishes of the family Elassomatidae, which are sometimes placed in the same family, although presently treated as distinct. The centrarchid family comprises 38 identified species, 34 of which are extant."
Centriscidae,"The Centriscidae are a family of fishes from the order Syngnathiformes which includes the snipefishes, shrimpfishes, and bellowfishes. A small family, consisting of only about over a dozen marine species in two subfamilies, they are of an unusual appearance, as reflected by their common names. Shrimpfish are restricted to relatively shallow, tropical parts of the Indo-Pacific, while snipefish and bellowfish are found in temperate and deeper tropical waters worldwide."
Centrogenyidae,"The false scorpionfish (Centrogenys vaigiensis), also known as prettyfins, is a species of ray-finned fish, one of three species in the genus Centrogenys, which is the only genus in the family Centrogenyidae. They are pale grey or brown and usually grow no longer than 25 cm (9.8 in). False scorpionfish are distributed throughout the Indo-West Pacific, bounded by the Ryukyu Islands of Japan to the north and Australia to the south, the Nicobar Islands to the west and New Guinea to the east."
